Subject,Start Date,Start Time,End Date,End Time
Indiana Fever @ New York Liberty,05/14/2021,7:00 PM,05/14/2021,9:00 PM
Connecticut Sun @ Atlanta Dream,05/14/2021,7:30 PM,05/14/2021,9:30 PM
Phoenix Mercury @ Minnesota Lynx,05/14/2021,9:00 PM,05/14/2021,11:00 PM
Dallas Wings @ Los Angeles Sparks,05/14/2021,10:30 PM,05/14/2021,12:30 PM
Chicago Sky @ Washington Mystics,05/15/2021,1:00 PM,05/15/2021,3:00 PM
Las Vegas Aces @ Seattle Storm,05/15/2021,3:00 PM,05/15/2021,5:00 PM
New York Liberty @ Indiana Fever,05/16/2021,2:00 PM,05/16/2021,4:00 PM
Phoenix Mercury @ Connecticut Sun,05/16/2021,7:00 PM,05/16/2021,9:00 PM
Minnesota Lynx @ New York Liberty,05/18/2021,7:00 PM,05/18/2021,9:00 PM
Phoenix Mercury @ Washington Mystics,05/18/2021,8:00 PM,05/18/2021,10:00 PM
Las Vegas Aces @ Seattle Storm,05/18/2021,10:00 PM,05/18/2021,12:00 PM
Chicago Sky @ Atlanta Dream,05/19/2021,7:00 PM,05/19/2021,9:00 PM
Indiana Fever @ Connecticut Sun,05/19/2021,7:00 PM,05/19/2021,9:00 PM
Seattle Storm @ Minnesota Lynx,05/20/2021,8:00 PM,05/20/2021,10:00 PM
Atlanta Dream @ Indiana Fever,05/21/2021,7:00 PM,05/21/2021,9:00 PM
New York Liberty @ Washington Mystics,05/21/2021,7:00 PM,05/21/2021,9:00 PM
Connecticut Sun @ Phoenix Mercury,05/21/2021,10:00 PM,05/21/2021,12:00 PM
Los Angeles Sparks @ Las Vegas Aces,05/21/2021,10:30 PM,05/21/2021,12:30 PM
Seattle Storm @ Dallas Wings,05/22/2021,8:00 PM,05/22/2021,10:00 PM
New York Liberty @ Chicago Sky,05/23/2021,1:00 PM,05/23/2021,3:00 PM
Washington Mystics @ Indiana Fever,05/23/2021,1:00 PM,05/23/2021,3:00 PM
Connecticut Sun @ Las Vegas Aces,05/23/2021,6:00 PM,05/23/2021,8:00 PM
Washington Mystics @ Indiana Fever,05/25/2021,7:00 PM,05/25/2021,9:00 PM
Dallas Wings @ New York Liberty,05/25/2021,7:00 PM,05/25/2021,9:00 PM
Atlanta Dream @ Chicago Sky,05/25/2021,8:00 PM,05/25/2021,10:00 PM
Connecticut Sun @ Seattle Storm,05/25/2021,10:00 PM,05/25/2021,12:00 PM
Las Vegas Aces @ Phoenix Mercury,05/26/2021,10:00 PM,05/26/2021,12:00 PM
Dallas Wings @ Atlanta Dream,05/27/2021,7:00 PM,05/27/2021,9:00 PM
Washington Mystics @ Connecticut Sun,05/28/2021,7:00 PM,05/28/2021,9:00 PM
Los Angeles Sparks @ Chicago Sky,05/28/2021,8:00 PM,05/28/2021,10:00 PM
Minnesota Lynx @ Seattle Storm,05/28/2021,10:00 PM,05/28/2021,12:00 PM
Indiana Fever @ Las Vegas Aces,05/28/2021,10:30 PM,05/28/2021,12:30 PM
Atlanta Dream @ New York Liberty,05/29/2021,2:00 PM,05/29/2021,4:00 PM
Phoenix Mercury @ Dallas Wings,05/29/2021,8:00 PM,05/29/2021,10:00 PM
Los Angeles Sparks @ Chicago Sky,05/30/2021,6:00 PM,05/30/2021,8:00 PM
Indiana Fever @ Las Vegas Aces,05/30/2021,6:00 PM,05/30/2021,8:00 PM
Connecticut Sun @ Minnesota Lynx,05/30/2021,7:00 PM,05/30/2021,9:00 PM
Las Vegas Aces @ Connecticut Sun,06/1/2021,7:00 PM,06/1/2021,9:00 PM
Phoenix Mercury @ Chicago Sky,06/1/2021,8:00 PM,06/1/2021,10:00 PM
Los Angeles Sparks @ Dallas Wings,06/1/2021,8:00 PM,06/1/2021,10:00 PM
Indiana Fever @ Seattle Storm,06/1/2021,10:00 PM,06/1/2021,12:00 PM
Las Vegas Aces @ New York Liberty,06/3/2021,8:00 PM,06/3/2021,10:00 PM
Chicago Sky @ Phoenix Mercury,06/3/2021,10:00 PM,06/3/2021,12:00 PM
Indiana Fever @ Los Angeles Sparks,06/3/2021,10:30 PM,06/3/2021,12:30 PM
